time,-p1,-p10,-p11,-p12,-p13,-p14,-p15,-p16,-p17,-p18,-p19,-p2,-p20,-p3,-p4,-p5,-p6,-p7,-p8,-p9,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
470,856.30206117154,853.74221194223,844.97018207363,826.73225956345,793.79684027994,739.56834583713,657.38108045713,542.46583416802,394.1555662975,217.50931603103,23.465953349497,21.458232206064,19.416460732417,17.343417846045,15.242065524528,13.11553406889,10.967105557453,8.8001956511407,6.6183339347597,4.4251429999963,2.2243164944509,2.0036582903932,1.7824426744524,1.5607301277789,1.3385816412365,1.1160586537378,0.89322298976458,0.67013679618621,0.44686247849107,0.22346263654579,0
480,855.56013789816,852.83610693851,843.57366173248,824.54312614924,790.60177729953,735.34818402211,652.41720699309,537.38109827261,389.82795398247,214.84591801914,23.102780924664,21.121010688229,19.107046601332,17.063544017176,14.993323548138,12.899357580164,10.784755210232,8.6527457482598,6.5066609451743,4.3499161269367,2.1859904299239,1.9690569815131,1.7515999056762,1.5336760812535,1.3153428437597,1.096657930076,0.87767942243605,0.65846569180319,0.43907534073876,0.21956714586159,0
490,854.76890375338,851.88078557263,842.13098158933,822.32064543205,787.40247034616,731.16970174241,647.5478764276,532.43099218684,385.64031119698,212.28113500564,22.758285296379,20.801442337413,18.814089203726,16.798767088409,14.758166873072,12.695116751244,10.612568473807,8.5135823409358,6.4013110826396,4.2789827855203,2.1498830363946,1.9364633764976,1.7225504673625,1.5081979441695,1.2934598526662,1.0783905993904,0.8630449012791,0.64747773474887,0.43174428433375,0.2158998909677,0
500,853.92831642351,850.87664068579,840.64360782712,820.06733754997,784.2015765342,727.03406808494,642.77120323915,527.61017512854,381.58537303863,209.8089166466,22.430806801389,20.497934842598,18.536084636085,16.547691644356,14.535327360355,12.501687916764,10.449581487779,8.3819145933878,6.3016774313117,4.2119283750693,2.1157777877328,1.9056812019151,1.6951187756108,1.4841412133551,1.2727995900614,1.061145306069,0.84923004165678,0.63710571109494,0.42482441631215,0.2124384002525,0
510,853.03846997377,849.82416625555,839.11300690217,817.78558283814,781.00149945073,722.94220274019,638.08523162032,522.91353994183,377.65636578609,207.42371523938,22.1188818949,20.209085999267,18.271710142236,16.309091631493,14.323691790543,12.318085446963,10.294949359305,8.2570496805865,6.2072285687728,4.1483900659003,2.0834853776983,1.8765388848403,1.6691513644799,1.4613708644535,1.2532457678477,1.0448247522696,0.83615674864767,0.62729089963126,0.41827651765274,0.20916304271903,0
520,852.09958418027,848.72394729503,837.54063915327,815.47762542317,777.80440725757,718.8948036458,633.48795580721,518.33620656259,373.84696833991,205.12043508337,21.821216231257,19.933657438941,18.019798936962,16.081886704404,14.1222801367,12.143442319634,10.14792936796,8.1383789156558,6.1174978556361,4.0880494364724,2.0528398322731,1.848886022626,1.6445137229598,1.4397685648438,1.2346964843082,1.0293436848172,0.8237565998318,0.61798185501936,0.41206623016851,0.20605662086674,0
530,851.11199396682,847.57665019636,835.92795340527,813.14557758923,774.61225007366,714.89237197355,628.97733724021,513.87351455331,370.15127676184,202.89438755617,21.536661750978,19.670552286684,17.779318808824,15.865122134603,13.930227119289,11.976993634623,10.007866720608,8.0253659878413,6.0320743575211,4.0306262347564,2.0236952174393,1.8225903936402,1.6210876168507,1.4192303139975,1.2170621894041,1.0146271910221,0.81196947630122,0.60913337775014,0.40616336823736,0.20310402608397,0
540,850.07613906813,846.38301356454,834.27638245254,810.79142471542,771.42677656403,710.93523468767,624.55131900617,509.52101501385,366.56377170529,200.74125121933,21.264197151837,19.418796134382,17.549353911565,15.657951723886,13.74676652775,11.818062607178,9.8741824525441,7.9175369757766,5.9505951394442,3.9758730843981,1.9959228470553,1.7975354223001,1.5987688178276,1.3996644427331,1.2002639596504,1.0006092538573,0.80074240206358,0.60070564092635,0.40054133533579,0.20029194651805,0
550,848.99255403602,845.14383959271,832.58733933819,808.4170306376,768.24954971018,707.02356490989,620.20783797259,505.2744621324,363.07928855239,198.6570363741,21.002911236332,19.177520830524,17.329089262255,15.459623266431,13.571217887103,11.666048660083,9.7463631438039,7.8144718607934,5.8727387189494,3.9235709879919,1.9694089121631,1.7736180268735,1.5774651755251,1.3809899147732,1.1842320337168,0.98723152554888,0.79002855892538,0.59266344909265,0.39517662881299,0.19760861912801,0
560,847.86185860832,843.85998594308,830.86221428078,806.02414324206,765.08196168419,703.15740023889,615.94483489758,501.12980451598,359.69299000517,196.63805348584,20.751988652399,18.945950611729,17.117797488809,15.269466128677,13.402975074049,11.520417263932,9.6239521512438,7.7157972950737,5.7982194897743,3.8735254986421,1.9440524640564,1.7507467886396,1.5570949776529,1.3631348821709,1.1689045670065,0.97444228461934,0.77978644877443,0.58497560798746,0.39004841879042,0.19504361885369,0
